Age,Gender,Civil Status,Religion,Educational Attainment,Barangay,Type of Current Offense,Prior Convictions,Juvenile Records,History of Incarceration,Length of Current Sentence (yrs),Time Served (yrs),Reoffense Nature,Time to Reoffend (mos),Infractions Count,Infractions Type,Jail Behavior Rating,Solitary Time (days),Jail Duties,Rehab Programs,Religious Activities,Group Recreation,Psych Assessment Result,Personality Disorders,Conflict in Jail,Impulsivity,Manipulativeness,Aggression,Remorse,Law Belief,Rehab Attitude,Gang Affiliation,Peer Influence,Friends w/ Record,Peer Type,Living Before Arrest,Education in Jail,Vocational Training,Therapy Attendance,Substance Abuse,Drug Rehab,Family Support,Family Relationship,Domestic Trauma,Marital Quality,Dependents,Family Reunification Intent,Pre-Jail Education,Job History,Income Level,Homelessness,Access to Needs,Juvenile Street Living,Release Date,Parole Status,Job After Release,NGO Support,Post-Release Housing,Post-Release Programs,Reoffend Time (mos),Reoffense Type
48,Male,Single,Muslim,Elementary,Jasaan,Theft,0 - Fraud,Yes,Yes,4,3.4,None,,1,Fighting,Good,15,Yes,Yes,No,None,High,Antisocial,Yes,High,High,High,No,Low,Cooperative,No,Yes,4,Antisocial,With Peers,No,No,Yes,None,Yes,Frequent,Absent,No,,4,Yes,Elementary,Factory,None,No,None,No,2/17/2022,None,Unemployed,Yes,Homeless,No,,
24,Female,Widowed,Iglesia,Graduate,Gatmaitan,Estafa,1 - Homicide,No,No,8,3.8,None,,4,Contraband,Fair,27,Yes,Yes,No,Art Therapy,Moderate,Narcissistic,No,Moderate,Low,Moderate,Some,Low,Willing,Yes,No,2,Prosocial,With Peers,No,Yes,Yes,None,Yes,None,Strained,No,,1,No,Graduate,Clerk,High,No,Regular,Yes,4/13/2022,None,Employed,No,Halfway House,No,,
53,Female,Separated,None,High School,San Juan,Homicide,3 - Assault,No,No,4,0.9,Same,21,0,Fighting,Good,6,No,No,No,Sports,Moderate,Antisocial,Yes,Moderate,Low,Moderate,Yes,High,Resistant,Yes,No,0,Antisocial,With Peers,Yes,No,Yes,None,No,Occasional,Strained,No,Poor,1,Yes,High School,Construction,High,Yes,Regular,No,2/19/2023,None,Employed,Yes,Renting,No,21,Homicide
23,Male,Single,None,Vocational,Labuin,Robbery,1 - Fraud,No,No,15,6.9,None,,3,Contraband,Poor,19,Yes,Yes,Yes,None,Moderate,Antisocial,Yes,Low,Low,Low,No,Low,Cooperative,Yes,No,3,Prosocial,With Peers,Yes,Yes,No,Drugs,No,Frequent,Absent,Yes,Poor,5,Yes,Vocational,Retail,None,Yes,None,Yes,3/3/2022,Parole,Employed,No,Halfway House,No,,
25,Female,Widowed,Iglesia,High School,Alipit,Robbery,3 - Estafa,Yes,Yes,15,6.8,Escalation,17,0,Verbal Threats,Good,30,Yes,No,Yes,Sports,Very High,Schizoid,No,Moderate,Low,High,Some,High,Willing,Yes,No,2,Prosocial,With Peers,No,Yes,Yes,Drugs,No,None,Strained,No,,3,Yes,High School,Retail,None,No,Irregular,No,7/28/2020,None,Employed,No,Homeless,Yes,17,Robbery
30,Female,Separated,Iglesia,None,San Pablo Norte,Assault,1 - Assault,No,No,2,0.5,None,,4,Fighting,Poor,5,No,Yes,No,Sports,Moderate,None,No,Low,High,Low,Some,High,Willing,No,No,3,Prosocial,Alone,No,Yes,No,Alcohol,Yes,Frequent,Strained,No,Poor,4,No,None,Unemployed,Medium,No,None,No,8/18/2021,Completed,Unemployed,No,Homeless,No,,
38,Male,Married,None,Vocational,San Pablo Norte,Fraud,3 - Theft,No,No,12,11,Escalation,25,5,Fighting,Fair,30,Yes,Yes,No,Sports,Very High,None,No,Low,High,Low,Some,High,Cooperative,Yes,No,2,Prosocial,Homeless,Yes,No,No,Drugs,No,None,Strong,Yes,Good,5,No,Vocational,Odd Jobs,None,No,Regular,Yes,3/23/2023,Completed,Employed,Yes,Halfway House,Yes,25,Fraud
36,Female,Widowed,Iglesia,Elementary,San Pablo Norte,Robbery,3 - Robbery,Yes,Yes,3,0.7,Escalation,16,3,Fighting,Good,14,No,No,No,None,Low,Narcissistic,No,High,High,Low,Yes,Moderate,Willing,No,No,5,Prosocial,Homeless,No,Yes,No,Both,Yes,Frequent,Strained,No,,2,No,Elementary,Unemployed,High,No,Regular,Yes,12/16/2024,Completed,Employed,No,Renting,Yes,16,Robbery
57,Female,Married,Catholic,Graduate,Jasaan,Theft,2 - Fraud,No,Yes,10,4,Same,6,2,Contraband,Poor,13,Yes,Yes,Yes,None,High,Schizoid,No,Low,Moderate,Moderate,Some,High,Willing,Yes,No,0,Antisocial,Alone,No,No,Yes,Both,Yes,Occasional,Absent,Yes,Poor,2,No,Graduate,Factory,High,No,Regular,Yes,1/20/2023,None,Unemployed,Yes,With Family,No,6,Theft
62,Female,Separated,Catholic,Elementary,Pagsawitan,Theft,2 - Estafa,Yes,Yes,4,3.6,Same,25,3,Contraband,Poor,30,No,Yes,No,None,Low,Narcissistic,No,Moderate,Low,High,Some,Low,Willing,No,Yes,2,Antisocial,With Peers,No,Yes,No,Drugs,Yes,Frequent,Strained,Yes,,1,Yes,Elementary,Unemployed,Medium,Yes,Regular,Yes,9/7/2020,None,Employed,Yes,Halfway House,Yes,25,Theft
56,Male,Widowed,Christian,Elementary,Alipit,Assault,1 - Theft,Yes,Yes,1,0.7,Same,21,0,Fighting,Fair,1,Yes,No,Yes,None,Low,Narcissistic,No,Moderate,High,High,Yes,Moderate,Resistant,Yes,Yes,5,Prosocial,Homeless,Yes,Yes,No,Both,No,None,Strong,No,,3,Yes,Elementary,Unemployed,Medium,Yes,Regular,Yes,10/21/2022,None,Unemployed,No,Halfway House,No,21,Assault
50,Female,Single,Catholic,Graduate,Jasaan,Fraud,1 - Estafa,No,Yes,7,2.7,Escalation,26,3,Verbal Threats,Fair,13,No,No,No,Sports,Very High,None,Yes,Low,Low,Moderate,Yes,High,Resistant,No,Yes,4,Antisocial,With Peers,Yes,No,No,Both,Yes,Occasional,Absent,No,Poor,0,Yes,Graduate,Odd Jobs,High,Yes,Regular,No,6/4/2024,Completed,Employed,No,With Family,No,26,Fraud
19,Male,Widowed,Muslim,High School,San Juan,Theft,1 - Fraud,Yes,No,2,0.7,None,,0,Verbal Threats,Poor,16,Yes,No,No,Art Therapy,High,BPD,No,Moderate,High,Moderate,No,High,Cooperative,Yes,Yes,1,Antisocial,With Family,No,No,No,Both,No,Occasional,Strained,Yes,,0,No,High School,Retail,None,No,None,No,11/10/2024,Parole,Employed,No,With Family,Yes,,
31,Female,Married,Christian,High School,Bagumbayan,Assault,0 - Theft,No,No,3,0.8,None,,5,Fighting,Poor,17,No,Yes,No,None,Low,Narcissistic,Yes,Moderate,Low,Moderate,No,Moderate,Resistant,No,No,2,Antisocial,Homeless,Yes,No,Yes,Both,No,Frequent,Strained,Yes,Good,3,No,High School,Factory,None,No,Irregular,No,6/25/2021,Parole,Employed,Yes,Renting,No,,
40,Male,Married,Catholic,Elementary,Bagumbayan,Illegal Drugs,1 - Robbery,Yes,Yes,3,2.9,None,,3,None,Poor,24,No,No,No,Sports,Very High,None,No,Moderate,High,Moderate,Some,High,Cooperative,No,Yes,2,Prosocial,Homeless,Yes,Yes,No,Drugs,Yes,None,Strong,No,Poor,4,Yes,Elementary,Retail,Low,No,None,No,3/2/2024,Completed,Employed,No,With Family,Yes,,
20,Male,Separated,Iglesia,College,Alipit,Robbery,1 - Assault,No,No,7,3.2,Escalation,4,5,Contraband,Good,10,Yes,No,No,Art Therapy,Moderate,Antisocial,Yes,High,High,Low,Some,Moderate,Resistant,No,Yes,4,Antisocial,With Peers,No,No,Yes,None,No,None,Strained,Yes,Poor,2,Yes,College,Odd Jobs,Medium,No,Regular,Yes,3/3/2021,Completed,Employed,Yes,Halfway House,Yes,4,Robbery
56,Female,Married,Christian,Elementary,Taytay,Homicide,1 - Homicide,No,Yes,7,2.9,None,,1,None,Poor,9,No,Yes,Yes,Art Therapy,Very High,BPD,No,High,High,Moderate,Some,Moderate,Willing,No,Yes,1,Antisocial,With Peers,Yes,No,No,None,Yes,Occasional,Strong,Yes,Poor,3,Yes,Elementary,Retail,None,Yes,Irregular,No,7/2/2020,Completed,Unemployed,Yes,Homeless,Yes,,
41,Male,Single,Muslim,None,Taytay,Homicide,2 - Fraud,Yes,Yes,1,0.6,Escalation,9,5,None,Fair,19,Yes,Yes,Yes,Art Therapy,Moderate,BPD,No,Low,Moderate,Low,Some,Low,Cooperative,Yes,No,5,Prosocial,With Family,Yes,No,Yes,Alcohol,Yes,Occasional,Strained,Yes,,2,Yes,None,Factory,High,Yes,None,Yes,6/3/2024,None,Employed,No,Homeless,Yes,9,Homicide
58,Female,Widowed,Muslim,Graduate,Pagsawitan,Assault,0 - Assault,Yes,Yes,13,7.8,Escalation,9,0,Contraband,Poor,10,Yes,No,No,None,Moderate,BPD,Yes,High,Moderate,Low,Some,Low,Cooperative,Yes,Yes,2,Prosocial,Homeless,No,No,Yes,Alcohol,No,Occasional,Strong,No,Poor,0,No,Graduate,Retail,High,No,Irregular,No,8/23/2021,Completed,Unemployed,No,With Family,No,9,Assault
23,Female,Married,None,High School,San Juan,Theft,0 - Assault,No,No,8,5,Escalation,11,5,None,Fair,14,Yes,No,No,Art Therapy,Low,None,No,Moderate,High,High,No,Low,Cooperative,Yes,No,0,Antisocial,With Family,Yes,No,No,Both,Yes,None,Strong,No,Poor,2,No,High School,Unemployed,Low,No,Irregular,No,4/4/2022,Parole,Employed,No,Homeless,Yes,11,Theft
34,Female,Separated,Christian,College,Bagumbayan,Homicide,3 - Illegal Drugs,Yes,Yes,14,1.5,Same,29,0,Contraband,Poor,11,Yes,No,No,Sports,Moderate,Antisocial,Yes,Low,Low,Low,Yes,Moderate,Cooperative,No,No,3,Antisocial,With Family,Yes,No,No,Both,No,Occasional,Absent,Yes,Good,2,Yes,College,Retail,High,No,Regular,Yes,7/17/2021,Parole,Employed,Yes,Halfway House,Yes,29,Homicide
28,Female,Married,Muslim,College,Malinao,Assault,0 - Assault,Yes,No,3,2.1,None,,4,Verbal Threats,Poor,20,Yes,Yes,Yes,None,High,Schizoid,Yes,Low,Low,Low,No,High,Willing,Yes,No,4,Antisocial,Homeless,No,No,No,Alcohol,No,Occasional,Strained,Yes,,0,Yes,College,Retail,High,No,Irregular,Yes,10/5/2022,Completed,Unemployed,No,Homeless,Yes,,
41,Male,Widowed,Christian,Vocational,Santo Angel,Assault,3 - Illegal Drugs,Yes,Yes,1,0.6,Escalation,27,1,Fighting,Fair,29,No,Yes,Yes,Art Therapy,Very High,Narcissistic,No,Moderate,Low,Low,Some,High,Willing,Yes,Yes,4,Prosocial,With Family,Yes,No,No,Both,No,None,Strong,Yes,Poor,1,No,Vocational,Clerk,Medium,No,Irregular,Yes,1/19/2023,None,Employed,No,Halfway House,Yes,27,Assault
42,Female,Widowed,None,Graduate,Labuin,Theft,1 - Theft,No,No,13,12.8,None,,2,Fighting,Good,19,No,Yes,Yes,Sports,Moderate,Antisocial,No,High,Moderate,Low,No,High,Cooperative,No,No,1,Prosocial,With Peers,No,No,No,Both,Yes,Occasional,Strained,Yes,Poor,4,No,Graduate,Clerk,None,No,Irregular,Yes,10/16/2020,Parole,Unemployed,Yes,Renting,Yes,,
54,Male,Married,Catholic,Vocational,San Juan,Estafa,1 - Estafa,Yes,No,9,7.1,Escalation,4,5,Fighting,Poor,6,No,No,No,Art Therapy,Moderate,Narcissistic,No,High,Moderate,High,No,High,Resistant,No,No,1,Antisocial,With Peers,No,Yes,No,Drugs,Yes,None,Absent,No,Poor,3,No,Vocational,Factory,Medium,No,Regular,No,6/25/2023,Parole,Unemployed,Yes,Halfway House,Yes,4,Estafa
40,Female,Widowed,Iglesia,Elementary,San Pablo Norte,Fraud,2 - Robbery,No,Yes,2,1.4,None,,1,Fighting,Good,21,Yes,Yes,Yes,Sports,Very High,Antisocial,No,Low,High,Low,Yes,High,Cooperative,No,No,3,Antisocial,With Peers,No,No,Yes,None,Yes,None,Absent,Yes,Good,3,Yes,Elementary,Unemployed,High,No,Regular,No,1/10/2020,None,Employed,No,Halfway House,No,,
59,Female,Married,None,Vocational,Bagumbayan,Illegal Drugs,0 - Assault,Yes,No,11,3.2,Same,1,5,Contraband,Fair,18,Yes,Yes,No,Art Therapy,High,None,No,High,Low,Low,Yes,Moderate,Willing,Yes,Yes,2,Prosocial,Alone,No,No,No,Drugs,Yes,Occasional,Absent,No,,1,Yes,Vocational,Clerk,None,No,Irregular,Yes,11/17/2023,None,Unemployed,Yes,Halfway House,No,1,Illegal Drugs
57,Male,Married,Christian,Vocational,Gatmaitan,Estafa,2 - Estafa,No,Yes,13,3.6,None,,0,None,Poor,22,No,Yes,Yes,Sports,Moderate,Schizoid,Yes,Low,Moderate,High,Some,Low,Resistant,Yes,No,0,Prosocial,With Family,No,Yes,No,Both,Yes,None,Strained,No,,0,No,Vocational,Construction,None,Yes,None,Yes,7/12/2020,None,Employed,Yes,With Family,No,,
20,Female,Separated,Christian,Elementary,Aplaya,Homicide,3 - Assault,No,No,14,12.9,Escalation,25,0,Fighting,Poor,27,No,Yes,Yes,None,Very High,Schizoid,Yes,High,Low,Low,Yes,Moderate,Willing,No,No,1,Antisocial,Homeless,No,Yes,No,Alcohol,Yes,Frequent,Absent,No,,0,Yes,Elementary,Odd Jobs,None,Yes,None,Yes,10/22/2023,None,Employed,Yes,With Family,No,25,Homicide
46,Male,Married,Catholic,Elementary,Alipit,Assault,1 - Fraud,No,No,4,1.6,Same,34,1,None,Fair,8,Yes,Yes,No,None,Very High,None,No,High,High,Moderate,No,Moderate,Resistant,No,No,1,Prosocial,Homeless,Yes,No,Yes,Alcohol,No,None,Strong,No,Good,4,No,Elementary,Retail,Low,No,Regular,No,6/21/2021,Parole,Unemployed,No,With Family,Yes,34,Assault
21,Female,Separated,None,College,Pagsawitan,Fraud,0 - Illegal Drugs,Yes,No,4,3.5,Escalation,20,0,Fighting,Good,30,Yes,No,Yes,None,Moderate,Narcissistic,Yes,High,Moderate,Moderate,Some,Moderate,Resistant,No,No,2,Prosocial,Homeless,No,Yes,No,Drugs,Yes,Occasional,Strained,No,Good,4,Yes,College,Clerk,Low,Yes,Irregular,No,3/7/2022,Completed,Employed,No,Renting,No,20,Fraud
53,Female,Widowed,Iglesia,Graduate,Jasaan,Homicide,3 - Estafa,Yes,No,3,0.8,None,,3,Fighting,Poor,20,Yes,Yes,Yes,None,Low,None,No,Low,High,Low,Yes,High,Cooperative,Yes,Yes,4,Prosocial,With Peers,Yes,No,No,None,Yes,None,Absent,No,Good,0,No,Graduate,Factory,Medium,Yes,None,No,2/4/2021,None,Employed,Yes,Renting,No,,
40,Female,Separated,Catholic,High School,Calios,Estafa,1 - Homicide,Yes,No,11,9.2,Same,3,0,None,Fair,12,No,Yes,Yes,None,Moderate,None,No,Moderate,High,Moderate,No,Low,Resistant,Yes,Yes,1,Prosocial,With Peers,Yes,Yes,No,None,Yes,Occasional,Strong,Yes,,1,No,High School,Unemployed,Medium,Yes,None,Yes,7/22/2024,None,Unemployed,No,Renting,Yes,3,Estafa
50,Female,Single,Catholic,Vocational,San Pablo Norte,Fraud,0 - Assault,No,No,1,0.8,Escalation,32,1,Contraband,Poor,30,No,No,Yes,None,Very High,None,No,Low,High,Low,Yes,Moderate,Cooperative,No,Yes,5,Prosocial,With Peers,No,Yes,Yes,None,No,Occasional,Strained,No,Good,1,Yes,Vocational,Odd Jobs,High,No,None,No,1/3/2020,Completed,Employed,No,Homeless,Yes,32,Fraud
36,Female,Separated,Catholic,Graduate,Malinao,Robbery,1 - Robbery,Yes,No,3,0.8,Escalation,18,3,Fighting,Good,5,No,No,No,Art Therapy,Very High,None,No,Moderate,Low,High,No,Moderate,Resistant,Yes,No,0,Antisocial,With Peers,Yes,No,No,Both,No,Occasional,Strained,No,,4,Yes,Graduate,Construction,Medium,Yes,Irregular,No,7/11/2021,Completed,Unemployed,Yes,Halfway House,No,18,Robbery
35,Female,Widowed,Catholic,College,San Pablo Norte,Robbery,1 - Homicide,Yes,No,12,2.9,Escalation,5,3,None,Good,20,No,Yes,No,None,Moderate,Narcissistic,No,Low,Moderate,High,Some,High,Willing,No,Yes,2,Antisocial,With Family,Yes,No,Yes,None,No,Occasional,Strained,Yes,Good,0,No,College,Odd Jobs,Low,No,Irregular,No,11/19/2023,None,Employed,No,With Family,No,5,Robbery
24,Female,Separated,Catholic,None,Taytay,Homicide,1 - Assault,No,No,8,6.4,None,,3,Contraband,Fair,3,No,No,No,Sports,High,None,Yes,Low,Moderate,High,Yes,High,Cooperative,Yes,Yes,4,Antisocial,With Peers,No,No,Yes,Both,Yes,Frequent,Absent,No,Poor,0,Yes,None,Retail,High,No,Regular,Yes,5/25/2021,None,Employed,Yes,Renting,No,,
38,Male,Separated,Catholic,High School,Jasaan,Fraud,3 - Robbery,No,No,10,4.2,Same,23,2,None,Poor,5,No,Yes,Yes,Art Therapy,Low,BPD,No,Low,Low,Moderate,No,Low,Resistant,No,No,4,Antisocial,Homeless,No,Yes,No,Alcohol,Yes,Occasional,Strained,Yes,Good,2,No,High School,Factory,None,No,Regular,No,4/27/2021,Completed,Unemployed,No,Homeless,No,23,Fraud
63,Female,Separated,Christian,None,Labuin,Theft,1 - Assault,Yes,No,4,2.4,Same,30,4,None,Poor,16,Yes,Yes,No,None,High,Schizoid,Yes,High,Moderate,High,Yes,Moderate,Cooperative,Yes,No,0,Prosocial,With Peers,No,Yes,No,None,Yes,Frequent,Absent,No,,4,No,None,Odd Jobs,Low,Yes,Regular,Yes,6/18/2024,Completed,Employed,No,Halfway House,No,30,Theft
54,Female,Single,Christian,Vocational,Malinao,Theft,2 - Fraud,Yes,Yes,4,1,Escalation,16,5,None,Fair,4,No,No,No,Art Therapy,Low,None,No,High,High,Moderate,No,Moderate,Willing,No,No,4,Antisocial,With Family,No,No,Yes,Both,Yes,Occasional,Strong,No,Poor,2,No,Vocational,Construction,Low,No,Irregular,Yes,2/21/2020,Completed,Employed,Yes,Renting,No,16,Theft
47,Male,Separated,Christian,Graduate,Malinao,Illegal Drugs,2 - Illegal Drugs,No,Yes,11,4.3,Same,24,5,Fighting,Good,12,No,Yes,No,None,Low,None,Yes,Low,Moderate,Low,Yes,High,Cooperative,No,Yes,0,Prosocial,With Family,No,Yes,No,None,Yes,Occasional,Strong,Yes,Good,2,No,Graduate,Construction,Low,No,Regular,Yes,9/19/2020,Parole,Employed,No,Halfway House,Yes,24,Illegal Drugs
58,Male,Separated,None,Graduate,Palasan,Fraud,1 - Theft,Yes,Yes,13,2,None,,3,Contraband,Fair,10,Yes,Yes,No,None,Low,BPD,No,High,Low,High,Some,Low,Resistant,Yes,No,2,Antisocial,Alone,No,No,Yes,Alcohol,No,None,Absent,Yes,,0,No,Graduate,Construction,Low,No,None,No,9/22/2022,Parole,Unemployed,Yes,With Family,Yes,,
18,Female,Married,Catholic,None,Aplaya,Estafa,2 - Homicide,No,No,12,5.1,None,,4,Fighting,Fair,2,No,Yes,Yes,Sports,High,Narcissistic,Yes,Moderate,High,Moderate,No,Low,Cooperative,Yes,Yes,3,Antisocial,Homeless,Yes,No,Yes,None,Yes,None,Strong,Yes,Good,3,No,None,Factory,Medium,Yes,Irregular,Yes,12/4/2022,Parole,Unemployed,No,Halfway House,Yes,,
34,Male,Separated,Iglesia,College,San Juan,Theft,3 - Fraud,Yes,No,3,1.1,Same,8,1,Verbal Threats,Good,27,Yes,Yes,Yes,Art Therapy,High,Narcissistic,Yes,Low,Low,High,No,High,Resistant,No,Yes,2,Antisocial,Homeless,No,No,Yes,Drugs,Yes,None,Absent,Yes,Good,1,Yes,College,Retail,None,No,Irregular,No,2/18/2022,Completed,Employed,No,Renting,No,8,Theft
54,Female,Married,Iglesia,High School,Labuin,Estafa,1 - Homicide,Yes,Yes,1,1,Same,15,4,Contraband,Poor,26,Yes,No,Yes,None,Very High,Antisocial,Yes,Low,High,Low,Some,Moderate,Cooperative,Yes,No,0,Antisocial,Alone,No,No,No,None,Yes,None,Strong,No,Good,4,Yes,High School,Retail,Low,Yes,Irregular,No,7/23/2022,None,Unemployed,No,Homeless,No,15,Estafa
32,Male,Married,Christian,College,Santo Angel,Illegal Drugs,0 - Illegal Drugs,No,No,6,2.7,None,,2,Fighting,Fair,9,No,No,Yes,Sports,Moderate,Antisocial,Yes,Low,Moderate,Low,Yes,High,Cooperative,No,No,4,Antisocial,With Peers,No,Yes,Yes,Both,No,None,Absent,Yes,Good,3,Yes,College,Odd Jobs,None,Yes,Regular,Yes,4/27/2021,Completed,Unemployed,Yes,Halfway House,Yes,,
19,Male,Married,Iglesia,Elementary,Santo Angel,Fraud,2 - Theft,Yes,No,1,0.6,None,,3,None,Fair,0,No,No,Yes,Art Therapy,Moderate,BPD,No,Moderate,Moderate,Low,Yes,High,Resistant,Yes,No,3,Prosocial,Homeless,Yes,Yes,No,Both,Yes,Occasional,Strong,Yes,,4,Yes,Elementary,Retail,Medium,No,None,No,10/17/2022,Completed,Unemployed,No,Renting,Yes,,
38,Male,Single,Muslim,None,Aplaya,Estafa,2 - Fraud,Yes,Yes,2,0.9,Same,18,4,Verbal Threats,Good,18,No,No,Yes,Sports,Moderate,Schizoid,No,High,High,Moderate,No,Low,Resistant,No,Yes,4,Antisocial,Homeless,No,Yes,No,None,Yes,Frequent,Strong,Yes,Good,4,No,None,Unemployed,Medium,Yes,Regular,No,6/2/2021,Parole,Employed,Yes,With Family,No,18,Estafa
22,Female,Separated,None,None,San Juan,Assault,2 - Illegal Drugs,Yes,No,13,8.5,Escalation,21,1,Contraband,Good,21,Yes,No,No,None,High,BPD,Yes,High,Low,High,No,Moderate,Resistant,Yes,Yes,4,Prosocial,Alone,Yes,No,Yes,Drugs,Yes,Frequent,Strained,No,Good,5,Yes,None,Clerk,Medium,No,Regular,No,4/23/2021,Parole,Unemployed,No,With Family,Yes,21,Assault
21,Female,Separated,Iglesia,Elementary,Malinao,Estafa,3 - Estafa,No,No,2,1.7,None,,5,Fighting,Good,14,Yes,Yes,No,Sports,High,Antisocial,Yes,Low,Moderate,Low,Some,Low,Resistant,Yes,Yes,2,Prosocial,With Family,No,Yes,No,Alcohol,Yes,Frequent,Strained,Yes,Good,3,No,Elementary,Clerk,Medium,No,Regular,Yes,7/19/2020,None,Unemployed,Yes,With Family,No,,
